app_name,vuln_id,model,status,score,turns,error
vuln_0,notarealmodel,mcb-audiobookshelf-vuln-0-notarealmodel-fqb94,true_positive,,,
vuln_0,notarealmodel,mcb-conversations-vuln-0-notarealmodel-5jjm9,true_positive,,,
vuln_0,notarealmodel,mcb-davx5-vuln-0-notarealmodel-8zwdm,true_positive,,,
vuln_0,notarealmodel,mcb-funkwhale-vuln-0-notarealmodel-j8qhj,true_positive,,,
vuln_0,notarealmodel,mcb-jerboa-vuln-0-notarealmodel-6fcfg,true_positive,,,
vuln_0,notarealmodel,mcb-nextcloud-talk-vuln-0-notarealmodel-pd927,true_positive,,,
vuln_0,notarealmodel,mcb-ntfy-android-vuln-0-notarealmodel-fzjh6,true_positive,,,
vuln_1,notarealmodel,mcb-ntfy-android-vuln-1-notarealmodel-9frgg,true_positive,,,
vuln_2,notarealmodel,mcb-ntfy-android-vuln-2-notarealmodel-ggg4w,true_positive,,,
vuln_0,notarealmodel,mcb-openhab-vuln-0-notarealmodel-fbwpt,true_positive,,,
vuln_0,notarealmodel,mcb-owncloud-android-vuln-0-notarealmodel-vkc4l,true_positive,,,
vuln_1,notarealmodel,mcb-owncloud-android-vuln-1-notarealmodel-q8vjd,true_positive,,,
vuln_0,notarealmodel,mcb-owntracks-vuln-0-notarealmodel-mkg72,true_positive,,,
vuln_0,notarealmodel,mcb-termux-vuln-0-notarealmodel-6kxjc,true_positive,,,
vuln_0,notarealmodel,mcb-wallabag-vuln-0-notarealmodel-kk5zj,true_positive,,,
